,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1904505,GO:1904505,regulation of telomere maintenance in response to DNA damage,5/1349,19/28928,0.263157895,5.643166478,4.477575695,0.001471032,0.009877843,0.007692975,Ruvbl2/Ino80/Actl6a/Ruvbl1/Actr8,5
GO:0019079,GO:0019079,viral genome replication,15/1349,134/28928,0.111940299,2.400451412,3.593667236,0.001496784,0.010036239,0.007816336,Eef1a1/Ddx56/Smc6/Top2a/Ddx5/Tmem41b/Ccnk/Banf1/Dicer1/Ddb1/Smc5/Ppie/Trim28/Resf1/Smarcb1,15
GO:0032506,GO:0032506,cytokinetic process,8/1349,48/28928,0.166666667,3.574005436,3.947297861,0.001565324,0.010480671,0.008162465,Chmp6/Chmp4b/Ect2/Exoc7/Kif20a/Chmp3/Chmp7/Anln,8
GO:0008535,GO:0008535,respiratory chain complex IV assembly,6/1349,28/28928,0.214285714,4.595149846,4.209354536,0.001581946,0.010576696,0.00823725,Coa6/Sco1/Cox17/Cox10/Cox16/Coa5,6
GO:0001736,GO:0001736,establishment of planar polarity,7/1349,38/28928,0.184210526,3.950216535,4.024763218,0.001672397,0.011165355,0.008695704,Wdr1/Fuz/Rpgrip1l/Ift20/Wdpcp/Cplane1/Ttc8,7
GO:0009408,GO:0009408,response to heat,12/1349,96/28928,0.125,2.680504077,3.647591689,0.001687902,0.01125268,0.008763714,Eif2b2/Eif2b5/Slu7/Eif2b4/Eif2b3/Mtor/Gclc/Dnaja3/Dhx36/Sod1/Eif2b1/Tpr,12
GO:0009133,GO:0009133,nucleoside diphosphate biosynthetic process,4/1349,12/28928,0.333333333,7.148010872,4.711124236,0.001724158,0.011412398,0.008888104,Guk1/Dtymk/Cmpk1/Ak2,4
GO:0033262,GO:0033262,regulation of nuclear cell cycle DNA replication,4/1349,12/28928,0.333333333,7.148010872,4.711124236,0.001724158,0.011412398,0.008888104,Ino80/Dbf4/Cdt1/Cdc7,4
GO:0046166,GO:0046166,glyceraldehyde-3-phosphate biosynthetic process,4/1349,12/28928,0.333333333,7.148010872,4.711124236,0.001724158,0.011412398,0.008888104,Tkt/Tpi1/Slc25a10/Gapdh,4
GO:0061668,GO:0061668,mitochondrial ribosome assembly,4/1349,12/28928,0.333333333,7.148010872,4.711124236,0.001724158,0.011412398,0.008888104,Mettl17/Mrps2/Dhx30/Mterf3,4
GO:0097576,GO:0097576,vacuole fusion,4/1349,12/28928,0.333333333,7.148010872,4.711124236,0.001724158,0.011412398,0.008888104,Chmp6/Chmp4b/Chmp3/Chmp7,4
GO:0009411,GO:0009411,response to UV,17/1349,164/28928,0.103658537,2.22285704,3.473292729,0.001758237,0.011621399,0.009050876,Pcna/Ruvbl2/Ino80/Fech/Men1/Nsmce3/Triap1/Rbx1/Ercc3/Pold1/Hus1/Sprtn/Ddb1/Stk11/Ccnd1/Dhx36/Atr,17
