,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
499,Nsf,4,3.4963e-05,0.00012101,0.004875,525,4,-1.9687,0.99997,0.99996,1,20748,0,-1.9687
500,Ncapd2,4,3.5146e-05,0.00012147,0.004885,526,4,-1.2848,0.99996,0.99996,1,20747,0,-1.2848
501,Dnm1l,4,3.5284e-05,0.00012194,0.004894,527,4,-1.3062,0.99996,0.99996,1,20746,0,-1.3062
502,Rpl5,3,3.5412e-05,0.00011121,0.004713,528,3,-3.1231,0.99996,0.99997,1,20745,0,-3.1231
503,Gtf2h3,4,3.5422e-05,0.0001224,0.004895,529,4,-1.834,0.99996,0.99996,1,20744,0,-1.834
504,Eif3a,4,3.5468e-05,0.0001224,0.004895,530,4,-2.3447,0.99996,0.99996,1,20743,0,-2.3447
505,Gtpbp4,4,3.5491e-05,0.00012287,0.004904,531,4,-2.3155,0.99996,0.99996,1,20742,0,-2.3155
506,Rplp2,4,3.5654e-05,0.00012334,0.004913,532,4,-3.2458,0.99996,0.99996,1,20741,0,-3.2458
507,Ppcdc,4,3.57e-05,0.0001238,0.004923,533,4,-1.6319,0.99996,0.99996,1,20740,0,-1.6319
508,Pole2,4,3.5866e-05,0.00012427,0.004923,534,3,-2.391,0.81433,0.81404,1,15746,0,-2.391
509,Dctn5,4,3.5886e-05,0.00012427,0.004923,535,4,-2.0313,0.99996,0.99996,1,20739,0,-2.0313
510,Gnl2,4,3.5979e-05,0.00012474,0.004932,536,4,-2.3019,0.99996,0.99996,1,20738,0,-2.3019
511,Sfpq,7,3.6135e-05,0.00023572,0.007317,537,5,-2.3656,0.91171,0.91145,1,17471,0,-2.3656
512,Rps13,3,3.6232e-05,0.00011494,0.004785,538,3,-2.7851,0.99996,0.99997,1,20737,0,-2.7851
513,Lsg1,4,3.6378e-05,0.00012613,0.004969,539,4,-1.3803,0.99996,0.99996,1,20736,0,-1.3803
514,Trmt6,4,3.6402e-05,0.00012613,0.004969,540,4,-1.9813,0.99996,0.99996,1,20735,0,-1.9813
515,Pdcd7,4,3.6685e-05,0.00012707,0.004996,541,4,-2.5753,0.99996,0.99996,1,20734,0,-2.5753
516,Dync2h1,4,3.6792e-05,0.00012753,0.005005,542,4,-1.7651,0.99996,0.99996,1,20733,0,-1.7651
517,Rps28,3,3.6854e-05,0.00011588,0.004787,543,3,-2.2334,0.99996,0.99997,1,20732,0,-2.2334
518,Mup-ps18,5,3.69e-05,0.00016624,0.005805,544,5,-2.3798,0.99996,0.99997,1,20731,0,-2.3798
519,Gm10774,3,3.698e-05,0.00011634,0.004797,545,3,-3.3149,0.99996,0.99997,1,20730,0,-3.3149
520,Mrpl12,4,3.6994e-05,0.000128,0.005005,546,4,-2.0147,0.99996,0.99996,1,20729,0,-2.0147
521,Hspb11,4,3.7042e-05,0.000128,0.005005,547,4,-1.6376,0.99996,0.99996,1,20728,0,-1.6376
522,Ndufb6,4,3.7162e-05,0.00012847,0.005005,548,4,-1.5795,0.99996,0.99996,1,20727,0,-1.5795
523,Cdk9,4,3.7209e-05,0.00012847,0.005005,549,4,-3.2191,0.99996,0.99996,1,20726,0,-3.2191
524,Nop58,4,3.7281e-05,0.00012893,0.005014,550,4,-2.0367,0.99996,0.99996,1,20725,0,-2.0367
525,Espl1,4,3.7667e-05,0.00013033,0.005032,552,4,-2.9475,0.99996,0.99996,1,20722,0,-2.9475
526,Mrpl15,4,3.7691e-05,0.00013033,0.005032,553,4,-1.7667,0.99996,0.99996,1,20721,0,-1.7667
527,Haus7,4,3.7982e-05,0.00013126,0.005058,554,4,-2.1379,0.99996,0.99996,1,20720,0,-2.1379
528,Copa,4,3.8422e-05,0.0001336,0.00513,555,4,-2.76,0.99996,0.99996,1,20719,0,-2.76
