Gene Symbol	DMSO_A	DMSO_B	DMSO_C	AZA_2h_A	AZA_2h_B	AZA_2h_C	AZA_48h_C	AZA_48h_B	AZA_48h_C			
Gm37393	0	0	0	0	0	0	0	0	0			
Gm28527	0	1	0	1	0	0	0	0	0			
Gm28825	0	0	0	0	0	0	0	0	0			
Gm28826	0	0	0	0	0	0	0	0	0			
Gm4852	0	0	2	0	6	0	0	0	2			
Gm38090	0	0	0	0	0	0	0	0	0			
Mir6350	0	0	0	0	0	0	0	0	0			
Gm18117	0	0	0	0	0	0	0	0	0			
Gm37196	2	2	0	0	0	1	2	0	8			
Gm8337	3	7	5	1	0	10	1	7	9			
7SK	0	0	0	0	0	0	0	0	0			
Gm19206	0	0	0	0	0	0	0	0	0			
Gm5974	0	1	0	0	1	0	0	0	0			
Gm23240	0	0	0	0	0	0	0	0	0			
Gm28830	0	0	0	0	0	0	0	0	0			
Gm8354	0	0	0	0	0	0	0	0	2			
Gm19124	0	0	0	0	2	0	0	0	0			
Gm8357	0	0	0	0	0	0	0	0	0			
Gm28740	0	0	0	0	0	0	0	0	0			
Cspp1	1823	1896	1603	1927	1830	1715	1418	1555	2004			
Gm8367	0	0	0	0	0	0	0	0	0			
C230029F24Rik	0	0	0	0	0	0	0	0	0			
Gm6757	0	0	1	0	0	0	0	0	0			
Gm3605	0	0	0	0	0	0	0	0	0			
Gm28388	0	0	0	0	0	0	0	0	0			
Gm8384	0	0	0	0	0	0	0	0	0			
1700047N06Rik	0	0	0	0	0	0	0	0	0			
4933411E06Rik	0	0	0	0	0	0	0	0	0			
Gm8391	0	0	0	0	0	0	0	0	0			
Gm29665	0	0	0	0	0	0	0	0	0			
Gm20118	0	0	0	0	0	0	0	0	0			
7SK	0	0	0	0	0	0	0	0	0			
Gm28321	0	8	4	18	4	12	80	107	103			
Rgs8	68	61	18	124	98	96	141	112	127			
Gm29529	0	2	2	0	0	0	0	0	0			
5530400K19Rik	1	6	0	0	0	0	0	0	2			
C230024C17Rik	2	0	0	0	0	4	4	0	0			
Tmeff2	304	357	298	362	376	363	281	349	280			
Rgs16	42	20	24	20	20	10	50	76	74			
Gm28513	0	0	0	0	0	0	0	0	0			
Gm28322	0	0	0	0	0	0	0	0	0			
Gm28319	0	0	0	0	0	0	0	0	0			
