id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
4931406B18Rik	4	0.51976	0.54208	1.0	7768	1	0.15577	0.22927	0.3459	0.997093	7143	2	0.15577
Potegl	4	0.51981	0.54212	1.0	7769	1	-0.22375	0.92839	0.92817	1.0	17790	0	-0.22375
Irak3	4	0.52008	0.54232	1.0	7770	1	-0.083102	0.93892	0.93882	1.0	17987	0	-0.083102
Ywhaq	1	0.52018	0.52006	1.0	7771	0	0.036691	0.47982	0.47981	1.0	10514	0	0.036691
Npepps	4	0.52019	0.5424	1.0	7772	1	-0.19299	0.97132	0.97122	1.0	18640	0	-0.19299
Apcdd1	4	0.52022	0.54243	1.0	7773	1	0.30005	0.081473	0.16409	0.897615	3701	2	0.30005
Srpx	4	0.52038	0.54254	1.0	7774	1	0.17808	0.66667	0.6685	1.0	13159	1	0.17808
Gm13534	2	0.52039	0.52049	1.0	7775	0	-0.09215	0.73179	0.7314	1.0	14312	0	-0.09215
Oxct1	4	0.52054	0.54266	1.0	7776	1	-0.018063	0.92894	0.92873	1.0	17800	0	-0.018063
Fndc1	4	0.52063	0.54272	1.0	7777	1	0.0054137	0.91982	0.91963	1.0	17639	0	0.0054137
Zfp865	4	0.52065	0.54274	1.0	7778	1	-0.097555	0.41041	0.48331	1.0	9687	1	-0.097555
Srsf6	4	0.52074	0.54281	1.0	7779	1	0.19033	0.13952	0.23612	0.956043	5059	2	0.19033
Dnase1	4	0.52077	0.54282	1.0	7780	1	0.17863	0.7577	0.75751	1.0	14761	0	0.17863
Pik3cd	4	0.5208	0.54285	1.0	7781	1	-0.1252	0.56674	0.58647	1.0	11626	1	-0.1252
Fbxl12	4	0.52092	0.54295	1.0	7782	1	0.024642	0.43812	0.50005	1.0	10004	1	0.024642
Kcnk1	4	0.5212	0.54318	1.0	7783	1	-0.18838	0.92869	0.92848	1.0	17795	0	-0.18838
Tdrd12	4	0.52123	0.5432	1.0	7784	1	0.016012	0.77301	0.77286	1.0	15015	0	0.016012
AI987944	4	0.52129	0.54324	1.0	7785	1	0.066309	0.10706	0.19591	0.918932	4338	1	0.066309
Ap4s1	3	0.5214	0.52311	1.0	7786	1	-0.21788	0.54323	0.54586	1.0	11345	1	-0.21788
Mfsd8	4	0.52141	0.54333	1.0	7787	1	-0.29799	0.9903	0.99024	1.0	19165	0	-0.29799
Slc5a4b	4	0.52149	0.54339	1.0	7788	1	-0.055044	0.79143	0.79119	1.0	15343	0	-0.055044
Gm10681	1	0.5215	0.52139	1.0	7789	0	0.03707	0.4785	0.47849	1.0	10498	0	0.03707
Frrs1l	4	0.52158	0.54345	1.0	7790	1	0.44933	0.0076207	0.023814	0.69589	678	3	0.44933
Rnase9	4	0.52167	0.54351	1.0	7791	1	0.16792	0.13895	0.23545	0.955702	5049	1	0.16792
Phf2	4	0.52173	0.54356	1.0	7792	1	0.098284	0.81463	0.81435	1.0	15752	0	0.098284
Miip	4	0.52181	0.54361	1.0	7793	1	0.055398	0.61227	0.62197	1.0	12276	1	0.055398
Sh3rf3	4	0.5219	0.54369	1.0	7794	1	0.046788	0.58896	0.60337	1.0	11938	1	0.046788
Gm20655	2	0.52194	0.52201	1.0	7795	0	-0.19665	0.85701	0.85691	1.0	16509	0	-0.19665
Olfr48	4	0.52196	0.54373	1.0	7796	1	0.41712	0.00035775	0.0013497	0.372187	77	2	0.41712
Cldn12	4	0.52201	0.54377	1.0	7797	1	0.064332	0.18086	0.28686	0.977292	6048	2	0.064332
Lrrc73	3	0.52209	0.52372	1.0	7798	1	-0.2821	0.9635	0.96362	1.0	18484	0	-0.2821
Tec	4	0.5221	0.54384	1.0	7799	1	-0.0036897	0.7723	0.77215	1.0	15006	0	-0.0036897
Arhgap17	4	0.52219	0.54392	1.0	7800	1	0.0038595	0.7677	0.76755	1.0	14934	0	0.0038595
Scoc	4	0.52227	0.54399	1.0	7801	1	0.043723	0.73347	0.73317	1.0	14338	0	0.043723
Brat1	4	0.52233	0.54403	1.0	7802	1	0.1625	0.58051	0.59691	1.0	11812	1	0.1625
NO_SITE_308	1	0.52236	0.52225	1.0	7803	0	0.036302	0.47764	0.47767	1.0	10484	0	0.036302
Rtkn	4	0.52236	0.54405	1.0	7804	1	0.14022	0.46911	0.51932	1.0	10373	1	0.14022
Asgr1	4	0.52239	0.54407	1.0	7805	1	-0.064061	0.9551	0.95497	1.0	18289	0	-0.064061
NO_SITE_535	1	0.52245	0.52233	1.0	7806	0	0.036937	0.47755	0.47757	1.0	10479	0	0.036937
Atp9b	4	0.52251	0.54417	1.0	7807	1	0.30361	0.025612	0.065004	0.808334	1604	2	0.30361
NO_SITE_43	1	0.52259	0.52248	1.0	7808	0	0.035749	0.47741	0.47744	1.0	10477	0	0.035749
Cacul1	4	0.52262	0.54426	1.0	7809	1	0.24402	0.077319	0.15885	0.889652	3597	1	0.24402
Gtse1	4	0.52271	0.54434	1.0	7810	1	-0.21588	0.21222	0.32521	0.992759	6755	1	-0.21588
Lrrc29	4	0.52279	0.54441	1.0	7811	1	0.045125	0.52227	0.55455	1.0	11055	1	0.045125
Shtn1	4	0.52285	0.54445	1.0	7812	1	0.067445	0.50672	0.54385	1.0	10853	1	0.067445
Tgfb2	4	0.52291	0.54448	1.0	7813	1	-0.26757	0.90739	0.90717	1.0	17383	0	-0.26757
Uchl3	4	0.52294	0.54452	1.0	7814	1	-0.0028875	0.43832	0.50015	1.0	10005	1	-0.0028875
Vmn1r7	4	0.52297	0.54454	1.0	7815	1	0.038093	0.63309	0.63921	1.0	12615	1	0.038093
NO_SITE_51	1	0.52305	0.5229	1.0	7816	0	0.029806	0.47695	0.47697	1.0	10471	0	0.029806
Fam214a	4	0.52308	0.54463	1.0	7817	1	0.097126	0.8153	0.81502	1.0	15765	0	0.097126
Runx3	4	0.5232	0.54471	1.0	7818	1	0.087932	0.56148	0.58256	1.0	11556	1	0.087932
Csf3r	4	0.52339	0.54486	1.0	7819	1	0.23941	0.20263	0.31348	0.990094	6540	2	0.23941
Mup3	4	0.52339	0.54486	1.0	7820	1	0.04569	0.28146	0.40883	1.0	8275	2	0.04569
Dpcd	4	0.52343	0.54489	1.0	7821	1	-0.090156	0.59566	0.6087	1.0	12032	1	-0.090156
Kcnip4	4	0.52352	0.54495	1.0	7822	1	0.087751	0.086984	0.17087	0.903752	3836	1	0.087751
NO_SITE_340	1	0.52354	0.5234	1.0	7823	0	0.033724	0.47646	0.47649	1.0	10464	0	0.033724
Ctnna2	4	0.52354	0.54498	1.0	7824	1	-0.14147	0.96052	0.96043	1.0	18413	0	-0.14147
Ttll6	4	0.52366	0.54506	1.0	7825	1	0.29883	0.028498	0.071323	0.82398	1719	2	0.29883
Kctd11	4	0.52389	0.54521	1.0	7826	1	0.02927	0.089002	0.17336	0.90688	3888	1	0.02927
Tmed6	4	0.52396	0.54525	1.0	7827	1	0.22966	0.232	0.3492	0.997093	7210	2	0.22966
Ltbr	4	0.52421	0.54543	1.0	7828	1	-0.0064558	0.77996	0.77969	1.0	15139	0	-0.0064558
Acsm2	4	0.52424	0.54545	1.0	7829	1	-0.075394	0.73101	0.73069	1.0	14298	0	-0.075394
Gna15	4	0.52427	0.54548	1.0	7830	1	-0.097196	0.51202	0.54738	1.0	10928	1	-0.097196
Olfr122	3	0.52433	0.52579	1.0	7831	1	0.18253	0.64792	0.64787	1.0	12856	0	0.18253
Zfyve16	4	0.52435	0.54556	1.0	7832	1	-0.12635	0.86822	0.86784	1.0	16698	0	-0.12635
Sigirr	4	0.52438	0.54557	1.0	7833	1	-0.05199	0.6268	0.634	1.0	12512	1	-0.05199
Tmem217	4	0.52441	0.5456	1.0	7834	1	0.1855	0.71434	0.71393	1.0	14021	0	0.1855
